1. [16, 10]
313. [5, 8]
314. [7, 11]
315. [14, 6]
316. [22, 27]
317. [30, 10]
318. [14, 13]
319. [25, 19]
320. [13, 6]
321. [10, 6]
322. [23, 21]
323. [6, 10]
324. [10, 8]
325. [22, 29]
326. [27, 30]
327. [17, 28]
328. [25, 6]
329. [18, 6]
330. [14, 14]
331. [31, 21]
332. [3, 19]
333. [29, 29]
334. [15, 15]
335. [17, 6]
336. [18, 6]
337. [13, 13]
338. [28, 14]
339. [25, 5]
340. [13, 21]
341. [16, 30]
342. [4, 13]
343. [1, 10]
344. [10, 16]
345. [26, 6]
346. [8, 1]
347. [14, 30]
348. [11, 19]
349. [29, 6]
350. [6, 13]
351. [20, 2]
352. [29, 10]
353. [13, 11]
354. [6, 6]
355. [18, 16]
356. [30, 27]
357. [16, 16]
358. [16, 18]
359. [10, 6]
360. [17, 22]
361. [6, 26]
362. [3, 1]
363. [16, 14]
364. [16, 9]
365. [29, 12]
366. [25, 10]
367. [28, 14]
368. [8, 13]
369. [11, 3]
370. [6, 22]
371. [16, 26]
372. [16, 30]
373. [24, 10]
374. [4, 25]
375. [16, 16]
376. [13, 26]
377. [14, 8]
378. [4, 16]
379. [1, 26]
380. [26, 6]
381. [30, 19]
382. [18, 16]
383. [26, 27]
384. [25, 14]
385. [27, 21]
386. [13, 10]
387. [28, 21]
388. [13, 28]
389. [21, 8]
390. [6, 22]
391. [6, 19]
392. [15, 25]
393. [12, 6]
394. [12, 30]
395. [16, 8]
396. [12, 30]
397. [24, 3]
398. [13, 13]
399. [10, 14]
400. [23, 14]
401. [11, 14]
402. [6, 2]
403. [23, 26]
404. [27, 8]
405. [6, 1]
406. [16, 13]
407. [30, 30]
408. [13, 30]
409. [13, 17]
410. [13, 25]
411. [10, 13]
412. [1, 14]
413. [16, 15]
414. [15, 6]
415. [30, 6]
416. [30, 5]
417. [25, 5]
418. [14, 10]
419. [13, 10]
420. [13, 11]
421. [11, 26]
422. [16, 6]
423. [16, 6]
424. [13, 26]
425. [25, 10]
426. [29, 13]
427. [13, 24]
428. [2, 31]
429. [1, 10]
430. [20, 30]
431. [10, 30]
432. [14, 29]
433. [18, 13]
434. [1, 6]
435. [9, 10]
436. [30, 13]
437. [3, 29]
438. [30, 10]
439. [14, 14]
440. [10, 1]
441. [13, 5]
442. [21, 30]
443. [1, 6]
444. [6, 8]
445. [17, 16]
446. [16, 6]
447. [8, 1]
448. [10, 16]
449. [2, 12]
450. [20, 30]
451. [23, 13]
452. [8, 10]
453. [26, 6]
454. [6, 8]
455. [10, 18]
456. [9, 11]
457. [30, 30]
458. [28, 30]
459. [28, 4]
460. [20, 13]
461. [8, 6]
462. [30, 15]
463. [6, 25]
464. [16, 27]
465. [16, 3]
466. [30, 30]
467. [13, 30]
468. [3, 2]
469. [30, 11]
470. [14, 30]
471. [14, 30]
472. [26, 25]
473. [29, 30]
474. [9, 3]
475. [12, 30]
476. [6, 29]
477. [10, 9]
478. [14, 9]
479. [10, 13]
480. [10, 15]
481. [2, 1]
482. [6, 26]
483. [13, 13]
484. [21, 13]
485. [30, 2]
486. [12, 23]
487. [14, 13]
488. [13, 30]
489. [9, 1]
490. [9, 29]
491. [2, 10]
492. [6, 10]
493. [6, 22]
494. [30, 30]
495. [30, 6]
496. [7, 17]
497. [13, 21]
498. [24, 17]
499. [14, 16]
500. [28, 13]
501. [28, 25]
502. [23, 14]
503. [18, 6]
504. [16, 10]
505. [3, 15]
506. [6, 1]
507. [10, 3]
508. [25, 26]
509. [14, 11]
510. [20, 12]
511. [25, 3]
512. [7, 6]
513. [7, 6]
514. [26, 18]
515. [25, 31]
516. [15, 20]
517. [24, 13]
518. [6, 15]
519. [20, 16]
520. [16, 27]
521. [19, 24]
522. [7, 10]
523. [21, 22]
524. [19, 24]
525. [4, 31]
526. [6, 13]
527. [1, 13]
528. [23, 16]
529. [27, 5]
530. [14, 6]
531. [6, 28]
532. [17, 8]
533. [30, 8]
534. [16, 8]
535. [14, 13]
536. [12, 25]
537. [1, 4]
538. [27, 13]
539. [18, 10]
540. [2, 18]
541. [31, 16]
542. [17, 4]
543. [28, 15]
544. [24, 7]
545. [18, 6]
546. [30, 24]
547. [12, 19]
548. [10, 5]
549. [12, 10]
550. [16, 7]
551. [23, 17]
552. [13, 21]
553. [10, 10]
554. [14, 3]
555. [26, 10]
556. [13, 10]
557. [21, 13]
558. [22, 16]
559. [30, 12]
560. [13, 26]
561. [7, 14]
562. [31, 16]
563. [30, 21]
564. [10, 11]
565. [18, 16]
566. [14, 1]
567. [6, 13]
568. [30, 28]
569. [29, 5]
570. [9, 6]
571. [31, 6]
572. [2, 15]
573. [9, 10]
574. [13, 10]
575. [28, 16]
576. [13, 14]
577. [24, 8]
578. [16, 12]
579. [13, 13]
580. [28, 13]
581. [27, 6]
582. [14, 30]
583. [4, 2]
584. [18, 28]
585. [4, 11]
586. [30, 10]
587. [13, 10]
588. [23, 23]
589. [16, 21]
590. [11, 27]
591. [11, 6]
592. [14, 10]
593. [13, 30]
594. [22, 13]
595. [10, 10]
596. [16, 10]
597. [31, 9]
598. [20, 1]
599. [10, 14]
600. [7, 18]
601. [10, 16]
602. [13, 10]
603. [27, 6]
604. [13, 6]
605. [16, 8]
606. [4, 16]
607. [12, 26]
608. [6, 10]
609. [14, 5]
610. [13, 13]
611. [12, 6]
612. [9, 9]
613. [13, 26]
614. [6, 31]
615. [13, 1]
616. [24, 10]
617. [11, 23]
618. [11, 10]
619. [23, 22]
620. [30, 28]
621. [18, 28]
622. [17, 14]
623. [30, 10]
624. [25, 16]
625. [6, 15]
626. [21, 11]
627. [6, 7]
628. [26, 13]
629. [26, 25]
630. [13, 22]
631. [10, 10]
632. [13, 6]
633. [30, 14]
634. [21, 28]
635. [27, 16]
636. [10, 18]
637. [11, 30]
638. [14, 10]
639. [13, 10]
640. [1, 10]
641. [30, 13]
642. [15, 16]
643. [25, 24]
644. [13, 10]
645. [26, 30]
646. [10, 28]
647. [10, 14]
648. [13, 8]
649. [6, 6]
650. [18, 7]
651. [30, 14]
652. [8, 10]
653. [14, 13]
654. [14, 21]
655. [29, 28]
656. [6, 10]
657. [13, 14]
658. [6, 6]
659. [18, 19]
660. [16, 16]
661. [8, 7]
662. [21, 16]
663. [25, 27]
664. [7, 6]
665. [5, 16]
666. [6, 25]
667. [14, 20]
668. [6, 29]
669. [23, 24]
670. [7, 28]
671. [13, 30]
672. [10, 12]
673. [22, 1]
674. [11, 1]
675. [19, 9]
676. [17, 16]
677. [6, 26]
678. [15, 13]
679. [5, 5]
680. [25, 10]
681. [23, 30]
682. [12, 26]
683. [10, 13]
684. [10, 12]
685. [26, 5]
686. [23, 6]
687. [13, 30]
688. [30, 14]
689. [31, 20]
690. [10, 14]
691. [6, 16]
692. [26, 7]
693. [28, 6]
694. [23, 16]
695. [13, 16]
696. [23, 13]
697. [26, 30]
698. [10, 14]
699. [13, 3]
700. [16, 13]
701. [14, 10]
702. [16, 16]
703. [16, 8]
704. [6, 7]
705. [16, 31]
706. [14, 6]
707. [29, 30]
708. [6, 7]
709. [16, 6]
710. [14, 16]
711. [15, 13]
712. [25, 16]
713. [10, 13]
714. [15, 11]
715. [6, 1]
716. [6, 8]
717. [15, 16]
718. [17, 2]
719. [16, 12]
720. [6, 18]
721. [4, 6]
722. [12, 16]
723. [6, 14]
724. [13, 8]
725. [26, 17]
726. [31, 11]
727. [14, 16]
728. [12, 15]
729. [6, 20]
730. [22, 9]
731. [21, 30]
732. [26, 22]
733. [28, 30]
734. [16, 13]
735. [6, 14]
736. [24, 16]
737. [16, 2]
738. [10, 30]
739. [6, 13]
740. [30, 4]
741. [30, 5]
742. [5, 12]
743. [15, 30]
744. [5, 26]
745. [16, 13]
746. [23, 3]
747. [12, 11]
748. [13, 15]
749. [10, 14]
750. [4, 13]
751. [8, 14]
752. [19, 7]
753. [6, 5]
754. [14, 13]
755. [30, 9]
756. [13, 5]
757. [16, 10]
758. [15, 31]
759. [14, 17]
760. [9, 20]
761. [13, 30]
762. [22, 8]
763. [13, 4]
764. [16, 16]
765. [16, 20]
766. [13, 29]
767. [18, 22]
768. [12, 9]
769. [14, 10]
770. [30, 1]
771. [1, 20]
772. [6, 23]
773. [3, 19]
774. [14, 7]
775. [5, 23]
776. [10, 6]
777. [28, 10]
778. [13, 15]
779. [14, 19]
780. [7, 29]
781. [10, 12]
782. [2, 20]
783. [29, 14]
784. [8, 19]
785. [15, 14]
786. [1, 11]
787. [16, 19]
788. [6, 22]
789. [23, 27]
790. [26, 27]
791. [14, 16]
792. [16, 27]
793. [26, 7]
794. [17, 3]
795. [14, 6]
796. [13, 30]
797. [13, 3]
798. [5, 14]
799. [6, 14]
800. [21, 30]
801. [10, 3]
802. [18, 23]
803. [30, 22]
804. [6, 6]
805. [19, 17]
806. [22, 30]
807. [13, 13]
808. [9, 15]
809. [10, 16]
810. [30, 27]
811. [10, 14]
812. [5, 9]
813. [15, 10]
814. [6, 6]
815. [13, 29]
816. [16, 5]
817. [11, 30]
818. [4, 18]
819. [5, 13]
820. [30, 30]
821. [31, 19]
822. [6, 13]
823. [14, 14]
824. [21, 7]
825. [13, 30]
826. [16, 29]
827. [8, 31]
828. [10, 16]
829. [31, 31]
830. [6, 11]
831. [24, 3]
832. [31, 10]
833. [10, 26]
834. [21, 11]
835. [16, 30]
836. [8, 6]
837. [7, 2]
838. [19, 5]
839. [10, 31]
840. [4, 18]
841. [14, 20]
842. [6, 13]
843. [6, 30]
844. [30, 11]
845. [10, 28]
846. [14, 13]
847. [30, 21]
848. [18, 6]
849. [13, 14]
850. [1, 15]
851. [11, 18]
852. [30, 9]
853. [21, 29]
854. [17, 30]
855. [10, 16]
856. [15, 16]
857. [31, 29]
858. [24, 14]
859. [30, 30]
860. [18, 10]
861. [4, 5]
862. [22, 20]
863. [14, 13]
864. [13, 14]
865. [5, 16]
866. [6, 9]
867. [14, 29]
868. [30, 14]
869. [11, 25]
870. [20, 22]
871. [30, 10]
872. [6, 22]
873. [9, 10]
874. [16, 14]
875. [7, 20]
876. [13, 6]
877. [30, 24]
878. [10, 6]
879. [16, 1]
880. [16, 13]
881. [23, 30]
882. [11, 8]
883. [6, 16]
884. [19, 16]
885. [4, 28]
886. [18, 16]
887. [15, 6]
888. [23, 3]
889. [29, 1]
890. [9, 25]
891. [6, 6]
892. [17, 13]
893. [25, 13]
894. [3, 12]
895. [30, 3]
896. [19, 30]
897. [28, 25]
898. [13, 21]
899. [12, 30]
900. [2, 8]
901. [17, 13]
902. [13, 30]
903. [7, 18]
904. [31, 13]
905. [1, 9]
906. [7, 7]
907. [13, 29]
908. [30, 6]
909. [10, 30]
910. [25, 16]
911. [6, 6]
912. [15, 10]
913. [21, 13]
914. [7, 16]
915. [13, 1]
916. [16, 16]
917. [20, 28]
918. [25, 30]
919. [16, 25]
920. [13, 18]
921. [2, 25]
922. [8, 1]
923. [30, 30]
924. [22, 22]
925. [1, 21]
926. [25, 15]
927. [20, 16]
928. [6, 20]
929. [21, 3]
930. [21, 23]
931. [10, 3]
932. [9, 16]
933. [6, 6]
934. [31, 23]
935. [4, 6]
936. [30, 30]
937. [2, 4]
938. [27, 28]
939. [16, 15]
940. [6, 31]
941. [10, 19]
942. [3, 30]
943. [6, 16]
944. [5, 13]
945. [14, 14]
946. [30, 7]
947. [10, 6]
948. [15, 5]
949. [7, 14]
950. [12, 9]
951. [9, 14]
952. [10, 26]
953. [6, 14]
954. [30, 24]
955. [17, 10]
956. [30, 13]
957. [16, 20]
958. [14, 27]
959. [2, 27]
960. [10, 10]
961. [30, 28]
962. [4, 6]
963. [28, 30]
964. [12, 14]
965. [1, 13]
966. [10, 28]
967. [13, 13]
968. [13, 10]
969. [12, 16]
970. [7, 14]
971. [4, 17]
972. [14, 13]
973. [13, 26]
974. [13, 6]
975. [23, 30]
976. [13, 30]
977. [24, 24]
978. [7, 2]
979. [18, 6]
980. [10, 20]
981. [10, 29]
982. [15, 6]
983. [10, 1]
984. [24, 3]
985. [30, 14]
986. [1, 16]
987. [21, 10]
988. [18, 27]
989. [13, 14]
990. [10, 12]
991. [16, 13]
992. [17, 16]
993. [13, 21]
994. [22, 10]
995. [13, 30]
996. [10, 1]
997. [10, 22]
998. [14, 13]
999. [24, 16]
1000. [27, 10]
1. [8, 19]
2. [26, 6]
3. [10, 12]
4. [14, 6]
5. [22, 31]
6. [30, 10]
7. [6, 28]
8. [30, 10]
9. [22, 1]
10. [6, 14]
11. [17, 22]
12. [13, 6]
13. [13, 20]
14. [3, 16]
15. [3, 14]
16. [2, 18]
17. [24, 6]
18. [11, 16]
19. [2, 1]
20. [17, 14]
21. [6, 23]
22. [14, 7]
23. [6, 10]
24. [4, 31]
25. [1, 6]
26. [6, 1]
27. [10, 30]
28. [21, 4]
29. [14, 11]
30. [14, 21]
31. [19, 25]
32. [15, 15]
33. [10, 10]
34. [5, 6]
35. [11, 16]
36. [27, 25]
37. [25, 4]
38. [10, 13]
39. [30, 27]
40. [14, 16]
41. [18, 18]
42. [28, 16]
43. [10, 14]
44. [3, 14]
45. [22, 30]
46. [13, 13]
47. [13, 29]
48. [11, 11]
49. [1, 10]
50. [30, 24]
51. [6, 16]
52. [26, 1]
53. [13, 10]
54. [20, 30]
55. [29, 27]
56. [12, 10]
57. [20, 15]
58. [6, 9]
59. [21, 18]
60. [27, 19]
61. [10, 30]
62. [13, 10]
63. [10, 27]
64. [14, 14]
65. [16, 5]
66. [12, 30]
67. [25, 22]
68. [24, 30]
69. [9, 30]
70. [14, 9]
71. [17, 19]
72. [13, 19]
73. [26, 3]
74. [30, 24]
75. [16, 4]
76. [6, 14]
77. [10, 6]
78. [20, 13]
79. [2, 30]
80. [14, 3]
81. [16, 17]
82. [28, 16]
83. [30, 16]
84. [31, 8]
85. [1, 30]
86. [30, 14]
87. [30, 21]
88. [1, 10]
89. [25, 28]
90. [15, 2]
91. [31, 2]
92. [16, 6]
93. [20, 16]
94. [30, 5]
95. [2, 27]
96. [10, 10]
97. [16, 14]
98. [13, 13]
99. [25, 6]
100. [13, 31]
101. [13, 30]
102. [3, 16]
103. [23, 1]
104. [13, 12]
105. [1, 6]
106. [1, 12]
107. [22, 17]
108. [16, 8]
109. [6, 4]
110. [16, 17]
111. [13, 28]
112. [6, 14]
113. [22, 3]
114. [24, 5]
115. [22, 18]
116. [25, 23]
117. [6, 21]
118. [17, 16]
119. [6, 16]
120. [13, 28]
121. [14, 13]
122. [6, 21]
123. [30, 11]
124. [30, 9]
125. [8, 25]
126. [3, 10]
127. [27, 13]
128. [8, 13]
129. [14, 16]
130. [8, 28]
131. [2, 13]
132. [19, 17]
133. [19, 18]
134. [10, 6]
135. [18, 13]
136. [10, 14]
137. [30, 6]
138. [2, 18]
139. [27, 19]
140. [18, 14]
141. [14, 20]
142. [26, 16]
143. [4, 27]
144. [21, 13]
145. [10, 17]
146. [23, 13]
147. [18, 13]
148. [16, 23]
149. [13, 20]
150. [12, 10]
151. [14, 30]
152. [30, 12]
153. [25, 19]
154. [11, 16]
155. [24, 29]
156. [10, 12]
157. [11, 23]
158. [25, 7]
159. [30, 10]
160. [8, 30]
161. [13, 26]
162. [22, 27]
163. [24, 14]
164. [17, 8]
165. [18, 31]
166. [26, 14]
167. [14, 9]
168. [14, 6]
169. [7, 6]
170. [4, 4]
171. [19, 6]
172. [30, 31]
173. [7, 18]
174. [13, 11]
175. [21, 6]
176. [16, 16]
177. [30, 7]
178. [31, 13]
179. [27, 28]
180. [7, 4]
181. [28, 16]
182. [30, 16]
183. [5, 14]
184. [6, 14]
185. [21, 16]
186. [13, 22]
187. [18, 30]
188. [16, 20]
189. [25, 23]
190. [11, 15]
191. [13, 1]
192. [6, 25]
193. [16, 1]
194. [14, 13]
195. [10, 14]
196. [5, 16]
197. [10, 14]
198. [22, 15]
199. [31, 19]
200. [27, 15]
201. [13, 16]
202. [7, 3]
203. [14, 27]
204. [23, 26]
205. [6, 16]
206. [25, 21]
207. [10, 26]
208. [9, 15]
209. [26, 30]
210. [1, 3]
211. [17, 14]
212. [14, 27]
213. [6, 6]
214. [16, 13]
215. [3, 17]
216. [3, 21]
217. [6, 24]
218. [14, 1]
219. [21, 13]
220. [30, 13]
221. [16, 19]
222. [31, 19]
223. [23, 6]
224. [17, 3]
225. [30, 23]
226. [25, 24]
227. [13, 5]
228. [16, 16]
229. [19, 22]
230. [17, 14]
231. [25, 31]
232. [13, 30]
233. [24, 13]
234. [21, 5]
235. [16, 30]
236. [9, 10]
237. [28, 2]
238. [11, 13]
239. [4, 26]
240. [22, 16]
241. [11, 4]
242. [10, 16]
243. [6, 27]
244. [30, 3]
245. [14, 29]
246. [30, 8]
247. [14, 29]
248. [15, 16]
249. [2, 22]
250. [6, 17]
251. [30, 23]
252. [17, 27]
253. [10, 30]
254. [14, 2]
255. [5, 15]
256. [3, 27]
257. [21, 11]
258. [30, 25]
259. [11, 14]
260. [8, 13]
261. [20, 6]
262. [6, 28]
263. [10, 16]
264. [26, 23]
265. [15, 10]
266. [4, 30]
267. [12, 28]
268. [23, 30]
269. [9, 6]
270. [7, 6]
271. [8, 13]
272. [6, 3]
273. [17, 31]
274. [16, 30]
275. [6, 28]
276. [30, 23]
277. [17, 29]
278. [30, 13]
279. [1, 10]
280. [30, 13]
281. [30, 9]
282. [30, 31]
283. [9, 16]
284. [26, 18]
285. [14, 13]
286. [30, 1]
287. [6, 13]
288. [8, 13]
289. [13, 4]
290. [6, 19]
291. [30, 20]
292. [30, 8]
293. [27, 13]
294. [21, 14]
295. [13, 1]
296. [20, 16]
297. [10, 13]
298. [30, 30]
299. [9, 30]
300. [30, 17]
301. [6, 31]
302. [10, 1]
303. [18, 3]
304. [2, 26]
305. [30, 31]
306. [7, 30]
307. [30, 18]
308. [6, 30]
309. [4, 4]
310. [17, 28]
311. [6, 30]
312. [6, 30]
313. [3, 23]
314. [6, 13]
315. [19, 30]
316. [10, 23]
317. [19, 6]
318. [23, 6]
319. [6, 11]
320. [13, 3]
321. [18, 18]
322. [13, 8]
323. [29, 9]
324. [14, 30]
325. [18, 31]
326. [8, 14]
327. [18, 14]
328. [30, 19]
329. [16, 27]
330. [28, 13]
331. [13, 17]
332. [10, 3]
333. [20, 22]
334. [15, 25]
335. [30, 10]
336. [19, 16]
337. [6, 10]
338. [30, 12]
339. [27, 16]
340. [30, 2]
341. [31, 14]
342. [21, 3]
343. [13, 9]
344. [13, 13]
345. [30, 10]
346. [13, 30]
347. [15, 15]
348. [12, 22]
349. [14, 6]
350. [31, 16]
351. [21, 23]
352. [24, 19]
353. [24, 20]
354. [24, 1]
355. [14, 14]
356. [15, 14]
357. [14, 10]
358. [6, 10]
359. [28, 14]
360. [4, 24]
361. [23, 6]
362. [13, 6]
363. [15, 7]
364. [31, 6]
365. [11, 6]
366. [25, 10]
367. [4, 21]
368. [13, 28]
369. [27, 4]
370. [1, 26]
371. [6, 26]
372. [13, 30]
373. [14, 11]
374. [29, 1]
375. [6, 10]
376. [25, 29]
377. [10, 16]
378. [2, 8]
379. [16, 29]
380. [13, 10]
381. [7, 27]
382. [15, 6]
383. [21, 15]
384. [15, 12]
385. [12, 30]
386. [13, 30]
387. [3, 10]
388. [2, 4]
389. [10, 16]
390. [24, 10]
391. [12, 29]
392. [16, 6]
393. [25, 19]
394. [25, 2]
395. [6, 22]
396. [15, 13]
397. [18, 8]
398. [10, 4]
399. [10, 14]
400. [12, 30]
401. [31, 30]
402. [24, 6]
403. [26, 16]
404. [12, 30]
405. [27, 31]
406. [14, 15]
407. [19, 6]
408. [16, 30]
409. [30, 26]
410. [5, 17]
411. [16, 13]
412. [13, 10]
413. [31, 6]
414. [25, 11]
415. [8, 13]
416. [16, 13]
417. [26, 16]
418. [14, 21]
419. [1, 24]
420. [17, 10]
421. [18, 18]
422. [30, 31]
423. [20, 16]
424. [24, 11]
425. [14, 27]
426. [4, 7]
427. [30, 13]
428. [13, 14]
429. [16, 1]
430. [27, 25]
431. [10, 18]
432. [6, 30]
433. [10, 13]
434. [6, 2]
435. [3, 19]
436. [18, 22]
437. [30, 8]
438. [12, 7]
439. [5, 15]
440. [25, 19]
441. [4, 10]
442. [6, 21]
443. [11, 21]
444. [16, 10]
445. [10, 10]
446. [13, 16]
447. [14, 9]
448. [13, 4]
449. [14, 10]
450. [28, 13]
451. [15, 2]
452. [6, 6]
453. [24, 9]
454. [1, 1]
455. [13, 16]
456. [20, 2]
457. [12, 25]
458. [30, 6]
459. [6, 30]
460. [16, 16]
461. [10, 12]
462. [6, 16]
463. [24, 22]
464. [10, 17]
465. [6, 10]
466. [14, 4]
467. [6, 13]
468. [15, 28]
469. [6, 3]
470. [27, 30]
471. [4, 30]
472. [14, 10]
473. [20, 13]
474. [21, 30]
475. [30, 30]
476. [19, 23]
477. [15, 12]
478. [10, 20]
479. [6, 15]
480. [6, 6]
481. [22, 10]
482. [18, 14]
483. [9, 7]
484. [16, 6]
485. [13, 19]
486. [6, 10]
487. [28, 16]
488. [16, 25]
489. [11, 8]
490. [3, 10]
491. [1, 9]
492. [16, 21]
493. [2, 16]
494. [14, 30]
495. [10, 6]
496. [10, 25]
497. [13, 16]
498. [4, 13]
499. [3, 6]
500. [14, 21]
501. [30, 10]
502. [6, 13]
503. [15, 8]
504. [10, 13]
505. [6, 19]
506. [10, 16]
507. [1, 7]
508. [14, 23]
509. [13, 6]
510. [30, 21]
511. [3, 10]
512. [23, 2]
513. [16, 10]
514. [10, 30]
515. [18, 16]
516. [21, 28]
517. [16, 14]
518. [16, 27]
519. [30, 29]
520. [14, 10]
521. [9, 5]
522. [2, 11]
523. [10, 5]
524. [18, 31]
525. [8, 23]
526. [18, 6]
527. [27, 18]
528. [4, 5]
529. [16, 16]
530. [2, 21]
531. [13, 30]
532. [15, 6]
533. [15, 14]
534. [13, 16]
535. [16, 24]
536. [14, 22]
537. [27, 22]
538. [7, 10]
539. [13, 9]
540. [13, 20]
541. [30, 10]
542. [16, 10]
543. [12, 14]
544. [6, 30]
545. [14, 25]
546. [13, 31]
547. [10, 9]
548. [9, 11]
549. [13, 16]
550. [3, 25]
551. [12, 10]
552. [14, 13]
553. [14, 3]
554. [16, 22]
